KEYS,zh-Hans
Game.BuffDescription.Rabies,伤害增加，生命再生速度降低，对状态造成影响
Game.BuffDescription.Rage,暴击率增加10%
Game.BuffDescription.RapidHealing,生命再生速度大幅提高
Game.BuffDescription.Ravens,乌鸦将攻击你的敌人
Game.BuffDescription.Regeneration,提供生命再生
Game.BuffDescription.Rudolph,骑乘红鼻子驯鹿
Game.BuffDescription.ScutlixMount,劈劈啪啪
Game.BuffDescription.ShadowDodge,你将躲避下一次攻击
Game.BuffDescription.ShadowFlame,正在损失生命值
Game.BuffDescription.ShadowOrb,可提供照明的魔法球
Game.BuffDescription.SharknadoMinion,鲨鱼旋风将为你而战
Game.BuffDescription.Sharpened,近战武器具有盔甲穿透力
Game.BuffDescription.Shine,发光
Game.BuffDescription.Silenced,无法使用需要魔力的物品
Game.BuffDescription.Slimed,你粘糊糊的
Game.BuffDescription.SlimeMount,啵嘤！
Game.BuffDescription.Slow,移动速度降低
Game.BuffDescription.SolarShield1,所受伤害减少30%，受伤时驱除敌人
Game.BuffDescription.SolarShield2,所受伤害减少30%，受伤时驱除敌人
Game.BuffDescription.SolarShield3,所受伤害减少30%，受伤时驱除敌人
Game.BuffDescription.Sonar,你能看到是什么在咬你的鱼钩
Game.BuffDescription.SoulDrain,生命再生速度提高
Game.BuffDescription.Spelunker,显示宝藏和矿石的位置
Game.BuffDescription.SpiderMinion,蜘蛛将为你而战
Game.BuffDescription.Squashling,南瓜娃娃将跟着你
Game.BuffDescription.StardustDragonMinion,星尘之龙将保护你
Game.BuffDescription.StardustGuardianMinion,星尘守卫将保护你
Game.BuffDescription.StardustMinion,星尘细胞将为你而战
Game.BuffDescription.StardustMinionBleed,being eaten by cells
Game.BuffDescription.StarInBottle,魔力再生增加
Game.BuffDescription.Stinky,你的味道真难闻
Game.BuffDescription.Stoned,你已完全石化！
Game.BuffDescription.Suffocation,正在损失生命值
Game.BuffDescription.Summoning,仆从数量上限提高
Game.BuffDescription.Sunflower,移动速度提高，怪物生成减少
Game.BuffDescription.SuspiciousTentacle,可提供照明的可疑眼球
Game.BuffDescription.Swiftness,移动速度提高25%
Game.BuffDescription.TheTongue,你被吸入嘴中
Game.BuffDescription.Thorns,攻击者也会受伤
Game.BuffDescription.TikiSpirit,友好幽魂将跟着你
Game.BuffDescription.Tipsy,近战能力提高，防御力降低
Game.BuffDescription.Titan,击退力提高
Game.BuffDescription.TurtleMount,陆地上速度缓慢，海上则可急速疾行
Game.BuffDescription.TwinEyesMinion,双子魔眼将为你而战
Game.BuffDescription.UFOMinion,UFO将为你而战
Game.BuffDescription.UFOMount,你拥有MAC真是太好了
Game.BuffDescription.UnicornMount,向前冲...太棒了！
Game.BuffDescription.Venom,正在损失生命值
Game.BuffDescription.VortexDebuff,你周围的重力是扭曲的
Game.BuffDescription.Warmth,冷系伤害减少
Game.BuffDescription.WaterCandle,怪物生成速度提高
Game.BuffDescription.WaterWalking,按DOWN进入水中
Game.BuffDescription.Weak,物理能力下降
Game.BuffDescription.WeaponImbueConfetti,近战攻击会喷撒彩纸
Game.BuffDescription.WeaponImbueCursedFlames,近战攻击会对敌人施放诅咒焰
Game.BuffDescription.WeaponImbueFire,近战攻击会点燃敌人
Game.BuffDescription.WeaponImbueGold,近战攻击会使敌人掉落更多金子
Game.BuffDescription.WeaponImbueIchor,近战攻击会降低敌人防御力
Game.BuffDescription.WeaponImbueNanites,近战攻击会迷惑敌人
Game.BuffDescription.WeaponImbuePoison,近战攻击会使敌人中毒
Game.BuffDescription.WeaponImbueVenom,近战攻击会对你的目标施放酸性毒液
Game.BuffDescription.Webbed,你被卡住了
Game.BuffDescription.WellFed,所有属性小幅提升
Game.BuffDescription.Werewolf,物理能力提高
Game.BuffDescription.Wet,你在滴水
Game.BuffDescription.WindPushed,风带着你四处移动！
Game.BuffDescription.Wisp,妖灵将跟着你
Game.BuffDescription.WitheredArmor,你的盔甲降级了！
Game.BuffDescription.WitheredWeapon,你的攻击变弱了！
Game.BuffDescription.Wrath,伤害增加10%
Game.BuffDescription.ZephyrFish,它喜欢在你周围游泳
Game.BuffDescription.DesertMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.DesertMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.FishMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.FishMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.BeeMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.BeeMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.LadybugMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.LadybugMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.PigronMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.PigronMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.SunflowerMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.SunflowerMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.HellMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.HellMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.ShroomMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.ShroomMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.AmethystMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.AmethystMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.TopazMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.TopazMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.SapphireMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.SapphireMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.EmeraldMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.EmeraldMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.RubyMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.RubyMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.DiamondMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.DiamondMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.AmberMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.AmberMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.BeetleMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.BeetleMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.MeowmereMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.MeowmereMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.PartyMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.PartyMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.PirateMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.PirateMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.SteampunkMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.SteampunkMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.CoffinMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.CoffinMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.FlinxMinion,小雪怪将为你而战
Game.BuffDescription.Frostburn2,要么特别热，要么特别冷。无论哪种方式都带来极大伤害
Game.BuffDescription.OnFire3,缓慢损失生命值
Game.BuffDescription.BabyBird,雀宝宝将为你而战
Game.BuffDescription.BabyImp,等到他两岁的时候走着瞧吧！
Game.BuffDescription.BabyRedPanda,小熊猫宝宝将跟着你
Game.BuffDescription.BabyWerewolf,狼人宝宝将跟着你
Game.BuffDescription.BatOfLight,血红蝙蝠将为你而战
Game.BuffDescription.BrainOfConfusionBuff,暴击率增加
Game.BuffDescription.CatBast,防御力增加5点
Game.BuffDescription.CoolWhipPlayerBuff,召唤雪花可让它为你作战
Game.BuffDescription.DarkHorseMount,骑上一匹黑马
Game.BuffDescription.DarkMageBookMount,这本书现在对你的指导有帮助
Game.BuffDescription.DD2BetsyPet,小双足翼龙将跟着你
Game.BuffDescription.DD2OgrePet,他有一根大棒，但不知道怎么用它
Game.BuffDescription.DestroyerPet,用于随时进行摧毁
Game.BuffDescription.DiggingMoleMinecartLeft,鼹鼠矿车将为你挖掘
Game.BuffDescription.DiggingMoleMinecartRight,鼹鼠矿车将为你挖掘
Game.BuffDescription.DukeFishronPet,海绿色的深渊侯爵
Game.BuffDescription.DynamiteKitten,不可用于大炮
Game.BuffDescription.EaterOfWorldsPet,会毁掉几个后院
Game.BuffDescription.EmpressBlade,刃之女皇将为你而战
Game.BuffDescription.EverscreamPet,带着树去散步！
Game.BuffDescription.FairyQueenPet,美人之光普照众生
Game.BuffDescription.FennecFox,狐狸说了什么？更重要的是，狐狸听到了什么？！
Game.BuffDescription.Flamingo,火烈鸟加油
Game.BuffDescription.GelBalloonBuff,你黏糊糊的，还发着光
Game.BuffDescription.GlitteryButterfly,真的真的反常
Game.BuffDescription.GolemPet,给自己一个会哭、会说话、会睡觉、会走路的活神像！
Game.BuffDescription.GolfCartMount,穿过平坦球道的好方法
Game.BuffDescription.IceQueenPet,冰雪女王已经重生为你的同伴
Game.BuffDescription.KingSlimePet,他听命于上级
Game.BuffDescription.LavaSharkMount,在融化的海洋中冲浪！
Game.BuffDescription.LilHarpy,来自天上的可爱
Game.BuffDescription.Lucky,你觉得自己很幸运
Game.BuffDescription.LunaticCultistPet,它一直看着月亮
Game.BuffDescription.MajesticHorseMount,骑上一匹壮马
Game.BuffDescription.MartianPet,你们好，人类同胞们？
Game.BuffDescription.MoonLordPet,来自远方的朋友
Game.BuffDescription.PaintedHorseMount,骑上一匹彩马
Game.BuffDescription.PirateShipMount,你现在是船长了
Game.BuffDescription.PlanteraPet,它到底吃什么呢？
Game.BuffDescription.Plantero,小植物将跟着你
Game.BuffDescription.PogoStickMount,咔咝唏嗑！咔咝唏嗑！咔咝唏嗑！
Game.BuffDescription.PumpkingPet,一盏小杰克南瓜灯像恶魔似地照亮道路
Game.BuffDescription.QueenBeePet,蜜蜂将跟着你
Game.BuffDescription.QueenSlimeMount,啵嘤扑扑啵嘤！
Game.BuffDescription.QueenSlimePet,她就是上级
Game.BuffDescription.FartMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.ShadowMimic,暗影宝箱怪将跟着你
Game.BuffDescription.SharkPup,嘟嘟嘟嘟嘟嘟
Game.BuffDescription.SkeletronPet,小骷髅王将跟着你
Game.BuffDescription.SkeletronPrimePet,每一种武器都致命
Game.BuffDescription.Smolstar,千刀万剐
Game.BuffDescription.SpookyWoodMount,向前跑，小树林，别回头！
Game.BuffDescription.StormTiger,沙漠虎将与你并肩作战
Game.BuffDescription.SugarGlider,蜜袋鼯将跟着你
Game.BuffDescription.SugarRush,移动和采矿速度各提高20%
Game.BuffDescription.TerraFartMinecartRight,{$BuffDescription.MinecartRight}
Game.BuffDescription.TerraFartMinecartLeft,{$BuffDescription.MinecartLeft}
Game.BuffDescription.TitaniumStorm,防御碎片包围着你
Game.BuffDescription.TwinsPet,你有一双特别的眼睛！
Game.BuffDescription.UpbeatStar,埃斯蒂将跟着你
Game.BuffDescription.VampireFrog,吸血鬼青蛙将为你而战
Game.BuffDescription.VoltBunny,伏特兔迷上你了
Game.BuffDescription.WallOfFleshGoatMount,这完全是金属摇滚范儿！
Game.BuffDescription.WellFed2,所有属性中幅提升
Game.BuffDescription.WellFed3,所有属性大幅提升
Game.BuffDescription.WitchBroom,它飞起来了！有巫术！
Game.BuffDescription.PigronMount,你现在看到我了……
Game.BuffDescription.Daybreak,已被太阳光线焚化
Game.BuffDescription.EyeOfCthulhuPet,眼珠子机灵点……
Game.BuffDescription.BrainOfCthulhuPet,它爬来爬去的……真恶心
Game.BuffDescription.SantankMount,从淘气名单上划掉……
Game.BuffDescription.NeutralHunger,你可以吃东西，但情况没那么糟。
Game.BuffDescription.Hunger,你很饿，而且感觉很虚弱。
Game.BuffDescription.Starving,你快饿死了！马上吃东西吧！
Game.BuffDescription.BerniePet,伯尼，你总是陪在我身边
Game.BuffDescription.GlommerPet,它长有绒毛！还黏糊糊的……
Game.BuffDescription.DeerclopsPet,天哪！
Game.BuffDescription.PigPet,行走的培根！
Game.BuffDescription.ChesterPet,奥特·冯·切斯特菲尔德先生
Game.BuffDescription.AbigailMinion,阿比盖尔将为了保护你而战
Game.BuffDescription.HeartyMeal,提高生命再生速度
Game.BuffDescription.Electrified,一动就痛！
Game.BuffDescription.Archery,弓伤害增加10%，箭速度增加20%
Game.BuffDescription.ShadowCandle,驱散城镇的宁静
Game.BuffDescription.ThornWhipPlayerBuff,鞭子速度增加
Game.BuffDescription.SwordWhipPlayerBuff,鞭子速度增加
Game.BuffDescription.ScytheWhipPlayerBuff,鞭子速度增加
Game.BuffDescription.DualSlimePet,最终权威，他们将统一王国！
Game.BuffDescription.BiomeSight,显示感染物块的位置
Game.BuffDescription.BloodButcherer,迅速出血
Game.BuffDescription.JunimoPet,森林守护者
Game.BuffDescription.WarTable,哨兵数量上限增加
Game.BuffDescription.BlueChickenPet,名牌上写着“谢恩”
Game.BuffDescription.WolfMount,你变成了狼！
Game.BuffDescription.Spiffo,“你就是这样没命的”
Game.BuffDescription.CavelingGardener,哈嘿啊忒！
Game.BuffDescription.Shimmer,你虚化了！
Game.BuffDescription.DirtiestBlock,你可以从多余的泥土看出来
Game.BuffDescription.AmmoBox,20%的几率节省弹药
Game.BuffDescription.AmmoReservation,20%的几率节省弹药
Game.BuffName.AmmoBox,弹药箱
Game.BuffName.AmmoReservation,弹药储备
Game.BuffName.Archery,箭术
Game.BuffName.BabyDinosaur,恐龙宝宝
Game.BuffName.BabyEater,吞噬怪宝宝
Game.BuffName.BabyFaceMonster,脸怪宝宝
Game.BuffName.BabyGrinch,格林奇宝宝
Game.BuffName.BabyHornet,黄蜂宝宝
Game.BuffName.BabyPenguin,企鹅宝宝
Game.BuffName.BabySkeletronHead,骷髅王宝宝头
Game.BuffName.BabySlime,史莱姆宝宝
Game.BuffName.BabySnowman,雪人宝宝
Game.BuffName.BabyTruffle,松露人宝宝
Game.BuffName.BallistaPanic,弩车恐慌！
Game.BuffName.BasiliskMount,蛇蜥怪坐骑
Game.BuffName.Battle,战斗
Game.BuffName.BeeMount,蜜蜂坐骑
Game.BuffName.BeetleEndurance1,甲虫耐力
Game.BuffName.BeetleEndurance2,甲虫耐力
Game.BuffName.BeetleEndurance3,甲虫耐力
Game.BuffName.BeetleMight1,甲虫力量
Game.BuffName.BeetleMight2,甲虫力量
Game.BuffName.BeetleMight3,甲虫力量
Game.BuffName.BetsysCurse,双足翼龙诅咒
Game.BuffName.Bewitched,着魔
Game.BuffName.BlackCat,黑猫
Game.BuffName.Blackout,灯火管制
Game.BuffName.Bleeding,流血
Game.BuffName.BoneJavelin,穿透
Game.BuffName.BrokenArmor,破损盔甲
Game.BuffName.Builder,建筑工
Game.BuffName.BunnyMount,兔兔坐骑
Game.BuffName.Burning,燃烧
Game.BuffName.Calm,冷静
Game.BuffName.Campfire,温馨之火
Game.BuffName.ChaosState,混乱状态
Game.BuffName.Chilled,冷冻
